,Time,Month,Hour,WindForecast,GustForecast,WindDirForecast
0,2023-10-06 00:00:00,10,0,7.0,9.7,293
1,2023-10-06 01:00:00,10,1,6.3,9.1,292
2,2023-10-06 02:00:00,10,2,5.5,5.8,293
3,2023-10-06 03:00:00,10,3,5.7,6.0,274
4,2023-10-06 04:00:00,10,4,5.8,7.4,255
5,2023-10-06 05:00:00,10,5,6.3,10.7,240
6,2023-10-06 06:00:00,10,6,7.3,12.4,236
7,2023-10-06 07:00:00,10,7,8.6,13.6,237
8,2023-10-06 08:00:00,10,8,8.9,15.6,232
9,2023-10-06 09:00:00,10,9,9.1,17.5,225
10,2023-10-06 10:00:00,10,10,10.4,17.9,223
11,2023-10-06 11:00:00,10,11,9.4,19.6,214
12,2023-10-06 12:00:00,10,12,10.6,22.0,206
13,2023-10-06 13:00:00,10,13,13.0,28.2,213
14,2023-10-06 14:00:00,10,14,15.8,30.1,241
15,2023-10-06 15:00:00,10,15,15.6,31.3,238
16,2023-10-06 16:00:00,10,16,18.9,34.0,235
17,2023-10-06 17:00:00,10,17,20.0,32.3,239
18,2023-10-06 18:00:00,10,18,20.1,32.7,239
19,2023-10-06 19:00:00,10,19,19.9,33.0,239
20,2023-10-06 20:00:00,10,20,20.0,33.8,239
21,2023-10-06 21:00:00,10,21,21.1,35.8,240
22,2023-10-06 22:00:00,10,22,22.6,37.1,245
23,2023-10-06 23:00:00,10,23,23.3,39.3,244
24,2023-10-07 00:00:00,10,0,24.0,41.0,244
25,2023-10-07 01:00:00,10,1,25.1,44.5,247
26,2023-10-07 02:00:00,10,2,28.1,47.0,257
27,2023-10-07 03:00:00,10,3,30.3,50.5,261
28,2023-10-07 04:00:00,10,4,31.3,50.2,264
29,2023-10-07 05:00:00,10,5,33.7,47.8,274
30,2023-10-07 06:00:00,10,6,32.4,46.1,278
31,2023-10-07 07:00:00,10,7,30.0,40.2,282
32,2023-10-07 08:00:00,10,8,27.9,37.5,280
33,2023-10-07 09:00:00,10,9,26.5,35.0,283
34,2023-10-07 10:00:00,10,10,25.2,33.0,286
35,2023-10-07 11:00:00,10,11,23.4,30.1,293
36,2023-10-07 12:00:00,10,12,22.3,28.2,299
37,2023-10-07 13:00:00,10,13,21.7,27.6,300
38,2023-10-07 14:00:00,10,14,20.6,25.7,304
39,2023-10-07 15:00:00,10,15,18.2,21.6,307
40,2023-10-07 16:00:00,10,16,17.4,21.8,311
41,2023-10-07 17:00:00,10,17,16.5,19.8,316
42,2023-10-07 18:00:00,10,18,14.7,17.5,325
43,2023-10-07 19:00:00,10,19,13.8,18.1,329
44,2023-10-07 20:00:00,10,20,14.7,19.8,326
45,2023-10-07 21:00:00,10,21,16.4,19.6,330
46,2023-10-07 22:00:00,10,22,15.4,18.5,331
47,2023-10-07 23:00:00,10,23,16.2,19.2,327
48,2023-10-08 00:00:00,10,0,17.1,20.4,326
49,2023-10-08 01:00:00,10,1,17.4,20.6,328
50,2023-10-08 02:00:00,10,2,18.2,21.8,329
51,2023-10-08 03:00:00,10,3,19.0,22.9,327
52,2023-10-08 04:00:00,10,4,18.8,22.9,326
53,2023-10-08 05:00:00,10,5,19.6,23.7,328
54,2023-10-08 06:00:00,10,6,20.3,24.5,328
55,2023-10-08 07:00:00,10,7,20.6,25.3,327
56,2023-10-08 08:00:00,10,8,20.9,25.7,327
57,2023-10-08 09:00:00,10,9,20.8,26.2,328
58,2023-10-08 10:00:00,10,10,20.7,25.9,330
59,2023-10-08 11:00:00,10,11,21.1,26.2,328
60,2023-10-08 12:00:00,10,12,21.4,25.9,327
61,2023-10-08 13:00:00,10,13,21.0,25.9,327
62,2023-10-08 14:00:00,10,14,20.4,25.3,327
63,2023-10-08 15:00:00,10,15,19.9,24.7,327
64,2023-10-08 16:00:00,10,16,18.8,23.5,327
65,2023-10-08 17:00:00,10,17,18.5,22.2,327
66,2023-10-08 18:00:00,10,18,16.9,21.6,328
67,2023-10-08 19:00:00,10,19,15.7,21.4,329
68,2023-10-08 20:00:00,10,20,14.9,20.8,328
69,2023-10-08 21:00:00,10,21,14.7,20.4,325
70,2023-10-08 22:00:00,10,22,14.5,20.0,321
71,2023-10-08 23:00:00,10,23,14.6,19.6,317
